solid_SIDIS_ec_forwardangle_shower  |                root  |solid_SIDIS_ec_forwardangle_shower  |                                  0*cm 0*cm 440*cm  |                       0*deg 0*deg 0*deg  | ff0000   |                Tube  |                       105*cm 235*cm 21.728*cm 0*deg 360*deg  |              G4_AIR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_1  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_1  |                              0*cm 0*cm -21.616*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_2  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_2  |                              0*cm 0*cm -21.392*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_3  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_3  |                              0*cm 0*cm -21.168*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_4  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_4  |                              0*cm 0*cm -20.944*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_5  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_5  |                               0*cm 0*cm -20.72*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_6  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_6  |                              0*cm 0*cm -20.496*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_7  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_7  |                              0*cm 0*cm -20.272*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_8  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_8  |                              0*cm 0*cm -20.048*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_9  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_9  |                              0*cm 0*cm -19.824*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_10  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_10  |                                0*cm 0*cm -19.6*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_11  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_11  |                              0*cm 0*cm -19.376*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_12  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_12  |                              0*cm 0*cm -19.152*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_13  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_13  |                              0*cm 0*cm -18.928*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_14  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_14  |                              0*cm 0*cm -18.704*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_15  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_15  |                               0*cm 0*cm -18.48*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_16  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_16  |                              0*cm 0*cm -18.256*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_17  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_17  |                              0*cm 0*cm -18.032*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_18  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_18  |                              0*cm 0*cm -17.808*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_19  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_19  |                              0*cm 0*cm -17.584*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_20  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_20  |                               0*cm 0*cm -17.36*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_21  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_21  |                              0*cm 0*cm -17.136*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_22  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_22  |                              0*cm 0*cm -16.912*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_23  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_23  |                              0*cm 0*cm -16.688*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_24  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_24  |                              0*cm 0*cm -16.464*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_25  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_25  |                               0*cm 0*cm -16.24*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_26  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_26  |                              0*cm 0*cm -16.016*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_27  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_27  |                              0*cm 0*cm -15.792*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_28  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_28  |                              0*cm 0*cm -15.568*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_29  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_29  |                              0*cm 0*cm -15.344*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_30  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_30  |                               0*cm 0*cm -15.12*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_31  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_31  |                              0*cm 0*cm -14.896*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_32  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_32  |                              0*cm 0*cm -14.672*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_33  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_33  |                              0*cm 0*cm -14.448*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_34  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_34  |                              0*cm 0*cm -14.224*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_35  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_35  |                                  0*cm 0*cm -14*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_36  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_36  |                              0*cm 0*cm -13.776*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_37  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_37  |                              0*cm 0*cm -13.552*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_38  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_38  |                              0*cm 0*cm -13.328*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_39  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_39  |                              0*cm 0*cm -13.104*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_40  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_40  |                               0*cm 0*cm -12.88*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_41  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_41  |                              0*cm 0*cm -12.656*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_42  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_42  |                              0*cm 0*cm -12.432*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_43  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_43  |                              0*cm 0*cm -12.208*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_44  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_44  |                              0*cm 0*cm -11.984*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_45  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_45  |                               0*cm 0*cm -11.76*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
