solid_SIDIS_mrpc_forwardangle  |                root  | solid_SIDIS_mrpc_forwardangle  |                                  0*cm 0*cm 410*cm  |                       0*deg 0*deg 0*deg  | 111111   |                Tube  |                         96*cm 210*cm 1.415*cm 0*deg 360*deg  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_mrpc_forwardangle_1  |solid_SIDIS_mrpc_forwardangle  |solid_SIDIS_mrpc_forwardangle_1  |                               0*cm 0*cm -1.115*cm  |                       0*deg 0*deg 0*deg  | 00ff00   |                Tube  |                           96*cm 210*cm 0.3*cm 0*deg 360*deg  | SL_mrpc_AlHoneycomb  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_mrpc_forwardangle_2  |solid_SIDIS_mrpc_forwardangle  |solid_SIDIS_mrpc_forwardangle_2  |                               0*cm 0*cm -0.775*cm  |                       0*deg 0*deg 0*deg  | 00ff00   |                Tube  |                          96*cm 210*cm 0.04*cm 0*deg 360*deg  |    SL_mrpc_PCBoardM  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_mrpc_forwardangle_3  |solid_SIDIS_mrpc_forwardangle  |solid_SIDIS_mrpc_forwardangle_3  |                              0*cm 0*cm -0.7275*cm  |                       0*deg 0*deg 0*deg  | 00ff00   |                Tube  |                        96*cm 210*cm 0.0075*cm 0*deg 360*deg  |     SL_mrpc_MMMylar  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_mrpc_forwardangle_4  |solid_SIDIS_mrpc_forwardangle  |solid_SIDIS_mrpc_forwardangle_4  |                                 0*cm 0*cm -0.7*cm  |                       0*deg 0*deg 0*deg  | 00ff00   |                Tube  |                          96*cm 210*cm 0.02*cm 0*deg 360*deg  |         G4_GRAPHITE  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_mrpc_forwardangle_5  |solid_SIDIS_mrpc_forwardangle  |solid_SIDIS_mrpc_forwardangle_5  |                               0*cm 0*cm -0.645*cm  |                       0*deg 0*deg 0*deg  | 00ff00   |                Tube  |                         96*cm 210*cm 0.035*cm 0*deg 360*deg  |      G4_GLASS_PLATE  |                  no  |     1   |     1   |     1   |   1   |   1   |          solid_mrpc  |          solid_mrpc  |                       id manual 4120001 
solid_SIDIS_mrpc_forwardangle_6  |solid_SIDIS_mrpc_forwardangle  |solid_SIDIS_mrpc_forwardangle_6  |                              0*cm 0*cm -0.5975*cm  |                       0*deg 0*deg 0*deg  | 00ff00   |                Tube  |                        96*cm 210*cm 0.0125*cm 0*deg 360*deg  |         SL_mrpc_Gas  |                  no  |     1   |     1   |     1   |   1   |   1   |          solid_mrpc  |          solid_mrpc  |                       id manual 4100001 
solid_SIDIS_mrpc_forwardangle_7  |solid_SIDIS_mrpc_forwardangle  |solid_SIDIS_mrpc_forwardangle_7  |                                0*cm 0*cm -0.55*cm  |                       0*deg 0*deg 0*deg  | 00ff00   |                Tube  |                         96*cm 210*cm 0.035*cm 0*deg 360*deg  |      G4_GLASS_PLATE  |                  no  |     1   |     1   |     1   |   1   |   1   |          solid_mrpc  |          solid_mrpc  |                       id manual 4120002 
solid_SIDIS_mrpc_forwardangle_8  |solid_SIDIS_mrpc_forwardangle  |solid_SIDIS_mrpc_forwardangle_8  |                              0*cm 0*cm -0.5025*cm  |                       0*deg 0*deg 0*deg  | 00ff00   |                Tube  |                        96*cm 210*cm 0.0125*cm 0*deg 360*deg  |         SL_mrpc_Gas  |                  no  |     1   |     1   |     1   |   1   |   1   |          solid_mrpc  |          solid_mrpc  |                       id manual 4100002 
solid_SIDIS_mrpc_forwardangle_9  |solid_SIDIS_mrpc_forwardangle  |solid_SIDIS_mrpc_forwardangle_9  |                               0*cm 0*cm -0.455*cm  |                       0*deg 0*deg 0*deg  | 00ff00   |                Tube  |                         96*cm 210*cm 0.035*cm 0*deg 360*deg  |      G4_GLASS_PLATE  |                  no  |     1   |     1   |     1   |   1   |   1   |          solid_mrpc  |          solid_mrpc  |                       id manual 4120003 
solid_SIDIS_mrpc_forwardangle_10  |solid_SIDIS_mrpc_forwardangle  |solid_SIDIS_mrpc_forwardangle_10  |                              0*cm 0*cm -0.4075*cm  |                       0*deg 0*deg 0*deg  | 00ff00   |                Tube  |                        96*cm 210*cm 0.0125*cm 0*deg 360*deg  |         SL_mrpc_Gas  |                  no  |     1   |     1   |     1   |   1   |   1   |          solid_mrpc  |          solid_mrpc  |                       id manual 4100003 
