   solid_SIDIS_gem_1  |                root  |             solid_SIDIS_gem_1  |                                 0*cm 0*cm -175*cm  |                       0*deg 0*deg 0*deg  | 111111   |                Tube  |                         36*cm 87*cm 4.8905*mm 0*deg 360*deg  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                       id manual 1100000 
solid_SIDIS_gem_1_1_0  |   solid_SIDIS_gem_1  |         solid_SIDIS_gem_1_1_0  |                              0*cm 0*cm -4.8305*mm  |                      0*deg 0*deg -2*deg  | 00ff00   |                Tube  |                           36*cm 87*cm 0.06*mm -5*deg 10*deg  |      SL_gem_NEMAG10  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                           id manual 101 
solid_SIDIS_gem_1_1_1  |   solid_SIDIS_gem_1  |         solid_SIDIS_gem_1_1_1  |                              0*cm 0*cm -4.8305*mm  |                     0*deg 0*deg -14*deg  | 00ff00   |                Tube  |                           36*cm 87*cm 0.06*mm -5*deg 10*deg  |      SL_gem_NEMAG10  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                           id manual 201 
solid_SIDIS_gem_1_1_2  |   solid_SIDIS_gem_1  |         solid_SIDIS_gem_1_1_2  |                              0*cm 0*cm -4.8305*mm  |                     0*deg 0*deg -26*deg  | 00ff00   |                Tube  |                           36*cm 87*cm 0.06*mm -5*deg 10*deg  |      SL_gem_NEMAG10  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                           id manual 301 
solid_SIDIS_gem_1_1_3  |   solid_SIDIS_gem_1  |         solid_SIDIS_gem_1_1_3  |                              0*cm 0*cm -4.8305*mm  |                     0*deg 0*deg -38*deg  | 00ff00   |                Tube  |                           36*cm 87*cm 0.06*mm -5*deg 10*deg  |      SL_gem_NEMAG10  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                           id manual 401 
solid_SIDIS_gem_1_1_4  |   solid_SIDIS_gem_1  |         solid_SIDIS_gem_1_1_4  |                              0*cm 0*cm -4.8305*mm  |                     0*deg 0*deg -50*deg  | 00ff00   |                Tube  |                           36*cm 87*cm 0.06*mm -5*deg 10*deg  |      SL_gem_NEMAG10  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                           id manual 501 
solid_SIDIS_gem_1_1_5  |   solid_SIDIS_gem_1  |         solid_SIDIS_gem_1_1_5  |                              0*cm 0*cm -4.8305*mm  |                     0*deg 0*deg -62*deg  | 00ff00   |                Tube  |                           36*cm 87*cm 0.06*mm -5*deg 10*deg  |      SL_gem_NEMAG10  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                           id manual 601 
solid_SIDIS_gem_1_1_6  |   solid_SIDIS_gem_1  |         solid_SIDIS_gem_1_1_6  |                              0*cm 0*cm -4.8305*mm  |                     0*deg 0*deg -74*deg  | 00ff00   |                Tube  |                           36*cm 87*cm 0.06*mm -5*deg 10*deg  |      SL_gem_NEMAG10  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                           id manual 701 
solid_SIDIS_gem_1_1_7  |   solid_SIDIS_gem_1  |         solid_SIDIS_gem_1_1_7  |                              0*cm 0*cm -4.8305*mm  |                     0*deg 0*deg -86*deg  | 00ff00   |                Tube  |                           36*cm 87*cm 0.06*mm -5*deg 10*deg  |      SL_gem_NEMAG10  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                           id manual 801 
solid_SIDIS_gem_1_1_8  |   solid_SIDIS_gem_1  |         solid_SIDIS_gem_1_1_8  |                              0*cm 0*cm -4.8305*mm  |                     0*deg 0*deg -98*deg  | 00ff00   |                Tube  |                           36*cm 87*cm 0.06*mm -5*deg 10*deg  |      SL_gem_NEMAG10  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                           id manual 901 
solid_SIDIS_gem_1_1_9  |   solid_SIDIS_gem_1  |         solid_SIDIS_gem_1_1_9  |                              0*cm 0*cm -4.8305*mm  |                    0*deg 0*deg -110*deg  | 00ff00   |                Tube  |                           36*cm 87*cm 0.06*mm -5*deg 10*deg  |      SL_gem_NEMAG10  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                          id manual 1001 
