solid_SIDIS_hgc_chamber  |                root  |       solid_SIDIS_hgc_chamber  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | CCCC33   |            Polycone  |0*deg 360*deg 2*counts 80*cm 94*cm 265*cm 265*cm 306*cm 406*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 solid_SIDIS_hgc_gas  |solid_SIDIS_hgc_chamber  |           solid_SIDIS_hgc_gas  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | CCCC33   |            Polycone  |0*deg 360*deg 2*counts 80.5*cm 94.5*cm 264.5*cm 264.5*cm 306.056*cm 405.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_1  | solid_SIDIS_hgc_gas  |       solid_SIDIS_hgc_block_1  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |102*deg 0.000005*deg 2*counts 80.5*cm 94.5*cm 264.5*cm 264.5*cm 306.056*cm 405.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_2  | solid_SIDIS_hgc_gas  |       solid_SIDIS_hgc_block_2  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |114*deg 0.000005*deg 2*counts 80.5*cm 94.5*cm 264.5*cm 264.5*cm 306.056*cm 405.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_3  | solid_SIDIS_hgc_gas  |       solid_SIDIS_hgc_block_3  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |126*deg 0.000005*deg 2*counts 80.5*cm 94.5*cm 264.5*cm 264.5*cm 306.056*cm 405.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_4  | solid_SIDIS_hgc_gas  |       solid_SIDIS_hgc_block_4  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |138*deg 0.000005*deg 2*counts 80.5*cm 94.5*cm 264.5*cm 264.5*cm 306.056*cm 405.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_5  | solid_SIDIS_hgc_gas  |       solid_SIDIS_hgc_block_5  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |150*deg 0.000005*deg 2*counts 80.5*cm 94.5*cm 264.5*cm 264.5*cm 306.056*cm 405.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_6  | solid_SIDIS_hgc_gas  |       solid_SIDIS_hgc_block_6  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |162*deg 0.000005*deg 2*counts 80.5*cm 94.5*cm 264.5*cm 264.5*cm 306.056*cm 405.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_7  | solid_SIDIS_hgc_gas  |       solid_SIDIS_hgc_block_7  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |174*deg 0.000005*deg 2*counts 80.5*cm 94.5*cm 264.5*cm 264.5*cm 306.056*cm 405.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_8  | solid_SIDIS_hgc_gas  |       solid_SIDIS_hgc_block_8  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |186*deg 0.000005*deg 2*counts 80.5*cm 94.5*cm 264.5*cm 264.5*cm 306.056*cm 405.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_9  | solid_SIDIS_hgc_gas  |       solid_SIDIS_hgc_block_9  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |198*deg 0.000005*deg 2*counts 80.5*cm 94.5*cm 264.5*cm 264.5*cm 306.056*cm 405.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
