        cher_lg_Tank  |                root  |                          tank  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | FF9900   |            Polycone  |0*deg 360*deg 4 65*cm 67*cm 67*cm 85*cm 144*cm 155*cm 265*cm 265*cm 194*cm 209.01*cm 209.01*cm 301*cm  |    SL_LGCCgas_SIDIS  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
cher_lg_Tank_window_back  |        cher_lg_Tank  |              tank window back  |                              0*cm 0*cm 300.995*cm  |                       0*deg 0*deg 0*deg  | FF9900   |                Tube  |                     85.1*cm 264.9*cm 0.005*cm 0*deg 360*deg  |              SL_PVF  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
cher_lg_Tank_window_front  |        cher_lg_Tank  |             tank window front  |                             0*cm 0*cm 194.0025*cm  |                       0*deg 0*deg 0*deg  | FF9900   |                Tube  |                    65.1*cm 143.9*cm 0.0025*cm 0*deg 360*deg  |              SL_PVF  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
cher_lg_Tank_LEM_window  |        cher_lg_Tank  |    tank window detector plane  |                             0*cm 0*cm 194.5025*cm  |                       0*deg 0*deg 0*deg  | FF9900   |                Tube  |                     65.1*cm 143.9*cm 0.001*mm 0*deg 360*deg  |    SL_LGCCgas_SIDIS  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
  cher_lg_PMT_30_1_1  |        cher_lg_Tank  |          PMT number 1 0 0 0 0  |                   58.873*cm 229.434*cm 233.267*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 00cc00   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 1 
  cher_lg_PMT_30_1_2  |        cher_lg_Tank  |          PMT number 1 0 0 0 1  |                   58.955*cm 229.717*cm 233.846*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 99ff99   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 2 
  cher_lg_PMT_30_1_3  |        cher_lg_Tank  |          PMT number 1 0 0 0 2  |                   59.037*cm 230.001*cm 234.425*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 00cc00   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 3 
  cher_lg_PMT_30_1_4  |        cher_lg_Tank  |          PMT number 1 0 0 0 3  |                   59.120*cm 230.284*cm 235.005*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 99ff99   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 4 
  cher_lg_PMT_30_1_5  |        cher_lg_Tank  |          PMT number 1 0 0 0 4  |                   59.202*cm 230.568*cm 235.584*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 00cc00   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 5 
  cher_lg_PMT_30_1_6  |        cher_lg_Tank  |          PMT number 1 0 0 0 5  |                   59.284*cm 230.851*cm 236.163*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 99ff99   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 6 
  cher_lg_PMT_30_1_7  |        cher_lg_Tank  |          PMT number 1 0 0 0 6  |                   59.367*cm 231.134*cm 236.742*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 00cc00   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 7 
  cher_lg_PMT_30_1_8  |        cher_lg_Tank  |          PMT number 1 0 0 0 7  |                   59.449*cm 231.418*cm 237.321*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 99ff99   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 8 
  cher_lg_PMT_30_1_9  |        cher_lg_Tank  |          PMT number 1 0 0 1 0  |                   59.497*cm 229.253*cm 233.267*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 99ff99   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 9 
 cher_lg_PMT_30_1_10  |        cher_lg_Tank  |          PMT number 1 0 0 1 1  |                   59.579*cm 229.536*cm 233.846*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 00cc00   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 10 
 cher_lg_PMT_30_1_11  |        cher_lg_Tank  |          PMT number 1 0 0 1 2  |                   59.662*cm 229.819*cm 234.425*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 99ff99   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 11 
 cher_lg_PMT_30_1_12  |        cher_lg_Tank  |          PMT number 1 0 0 1 3  |                   59.744*cm 230.103*cm 235.005*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 00cc00   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 12 
 cher_lg_PMT_30_1_13  |        cher_lg_Tank  |          PMT number 1 0 0 1 4  |                   59.826*cm 230.386*cm 235.584*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 99ff99   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 13 
 cher_lg_PMT_30_1_14  |        cher_lg_Tank  |          PMT number 1 0 0 1 5  |                   59.908*cm 230.670*cm 236.163*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 00cc00   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 14 
 cher_lg_PMT_30_1_15  |        cher_lg_Tank  |          PMT number 1 0 0 1 6  |                   59.991*cm 230.953*cm 236.742*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 99ff99   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 15 
 cher_lg_PMT_30_1_16  |        cher_lg_Tank  |          PMT number 1 0 0 1 7  |                   60.073*cm 231.236*cm 237.321*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 00cc00   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 16 
 cher_lg_PMT_30_1_17  |        cher_lg_Tank  |          PMT number 1 0 0 2 0  |                   60.121*cm 229.071*cm 233.267*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 00cc00   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 17 
 cher_lg_PMT_30_1_18  |        cher_lg_Tank  |          PMT number 1 0 0 2 1  |                   60.203*cm 229.355*cm 233.846*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 99ff99   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 18 
 cher_lg_PMT_30_1_19  |        cher_lg_Tank  |          PMT number 1 0 0 2 2  |                   60.286*cm 229.638*cm 234.425*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 00cc00   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 19 
 cher_lg_PMT_30_1_20  |        cher_lg_Tank  |          PMT number 1 0 0 2 3  |                   60.368*cm 229.921*cm 235.005*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 99ff99   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 20 
 cher_lg_PMT_30_1_21  |        cher_lg_Tank  |          PMT number 1 0 0 2 4  |                   60.450*cm 230.205*cm 235.584*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 00cc00   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 21 
 cher_lg_PMT_30_1_22  |        cher_lg_Tank  |          PMT number 1 0 0 2 5  |                   60.533*cm 230.488*cm 236.163*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 99ff99   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 22 
 cher_lg_PMT_30_1_23  |        cher_lg_Tank  |          PMT number 1 0 0 2 6  |                   60.615*cm 230.772*cm 236.742*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 00cc00   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 23 
