          solid_mrpc  |              bankid  |                                solid_mrpc bank ID  |  300   |                  Di  
          solid_mrpc  |                 pid  |ID of the first particle entering the sensitive volume  |    1   |                  Di  
          solid_mrpc  |                mpid  |ID of the mother of the first particle entering the sensitive volume  |    2   |                  Di  
          solid_mrpc  |                 tid  |Track ID of the first particle entering the sensitive volume  |    3   |                  Di  
          solid_mrpc  |                mtid  |Track ID of the mother of the first particle entering the sensitive volume  |    4   |                  Di  
          solid_mrpc  |                otid  |Track ID of the original track that generated the first particle entering the sensitive volume  |    5   |                  Di  
          solid_mrpc  |              trackE  |                               Energy of the track  |    6   |                  Dd  
          solid_mrpc  |             totEdep  |                            Total Energy Deposited  |    7   |                  Dd  
          solid_mrpc  |               avg_x  |     Average X position in global reference system  |    8   |                  Dd  
          solid_mrpc  |               avg_y  |     Average Y position in global reference system  |    9   |                  Dd  
          solid_mrpc  |               avg_z  |     Average Z position in global reference system  |   10   |                  Dd  
          solid_mrpc  |              avg_lx  |      Average X position in local reference system  |   11   |                  Dd  
          solid_mrpc  |              avg_ly  |      Average Y position in local reference system  |   12   |                  Dd  
          solid_mrpc  |              avg_lz  |      Average Z position in local reference system  |   13   |                  Dd  
          solid_mrpc  |                  px  |x component of momentum of the particle entering the sensitive volume  |   14   |                  Dd  
          solid_mrpc  |                  py  |y component of momentum of the particle entering the sensitive volume  |   15   |                  Dd  
          solid_mrpc  |                  pz  |z component of momentum of the particle entering the sensitive volume  |   16   |                  Dd  
          solid_mrpc  |                  vx  |x component of primary vertex of the particle entering the sensitive volume  |   17   |                  Dd  
          solid_mrpc  |                  vy  |y component of primary vertex of the particle entering the sensitive volume  |   18   |                  Dd  
          solid_mrpc  |                  vz  |z component of primary vertex of the particle entering the sensitive volume  |   19   |                  Dd  
          solid_mrpc  |                 mvx  |x component of primary vertex of the mother of the particle entering the sensitive volume  |   20   |                  Dd  
          solid_mrpc  |                 mvy  |y component of primary vertex of the mother of the particle entering the sensitive volume  |   21   |                  Dd  
          solid_mrpc  |                 mvz  |z component of primary vertex of the mother of the particle entering the sensitive volume  |   22   |                  Dd  
          solid_mrpc  |               avg_t  |                                      Average time  |   23   |                  Dd  
          solid_mrpc  |                  id  |                                         id number  |   24   |                  Di  
          solid_mrpc  |                hitn  |                                        Hit Number  |   99   |                  Di  
