
      Q2           X            U            D          UBAR         DBAR          S

  1.0000E+00   1.0000E-05   1.3284E+01  -6.8525E+01   1.0194E+01  -1.7989E+02  -3.8168E+02
  1.0000E+00   1.3300E-05   1.2036E+01  -5.5972E+01   9.3382E+00  -1.4179E+02  -3.0072E+02
  1.0000E+00   1.7800E-05   1.0927E+01  -4.5715E+01   8.5371E+00  -1.1119E+02  -2.3568E+02
  1.0000E+00   2.3700E-05   9.9578E+00  -3.7639E+01   7.8166E+00  -8.7577E+01  -1.8549E+02
  1.0000E+00   3.1600E-05   9.0797E+00  -3.1107E+01   7.1534E+00  -6.8912E+01  -1.4581E+02
  1.0000E+00   4.2200E-05   8.2776E+00  -2.5809E+01   6.5429E+00  -5.4166E+01  -1.1446E+02
  1.0000E+00   5.6200E-05   7.5525E+00  -2.1561E+01   5.9891E+00  -4.2687E+01  -9.0039E+01
  1.0000E+00   7.5000E-05   6.8843E+00  -1.8083E+01   5.4782E+00  -3.3597E+01  -7.0695E+01
  1.0000E+00   1.0000E-04   6.2742E+00  -1.5256E+01   5.0117E+00  -2.6476E+01  -5.5534E+01
  1.0000E+00   1.3300E-04   5.7198E+00  -1.2958E+01   4.5878E+00  -2.0923E+01  -4.3702E+01
  1.0000E+00   1.7800E-04   5.2007E+00  -1.1027E+01   4.1907E+00  -1.6466E+01  -3.4195E+01
  1.0000E+00   2.3700E-04   4.7338E+00  -9.4615E+00   3.8331E+00  -1.3029E+01  -2.6857E+01
  1.0000E+00   3.1600E-04   4.3042E+00  -8.1546E+00   3.5031E+00  -1.0315E+01  -2.1052E+01
  1.0000E+00   4.2200E-04   3.9094E+00  -7.0588E+00   3.1985E+00  -8.1741E+00  -1.6462E+01
  1.0000E+00   5.6200E-04   3.5525E+00  -6.1490E+00   2.9209E+00  -6.5103E+00  -1.2885E+01
  1.0000E+00   7.5000E-04   3.2251E+00  -5.3768E+00   2.6634E+00  -5.1957E+00  -1.0048E+01
  1.0000E+00   1.0000E-03   2.9288E+00  -4.7249E+00   2.4265E+00  -4.1692E+00  -7.8220E+00
  1.0000E+00   1.3300E-03   2.6633E+00  -4.1745E+00   2.2090E+00  -3.3716E+00  -6.0815E+00
  1.0000E+00   1.7800E-03   2.4197E+00  -3.6935E+00   2.0027E+00  -2.7345E+00  -4.6800E+00
  1.0000E+00   2.3700E-03   2.2070E+00  -3.2876E+00   1.8138E+00  -2.2463E+00  -3.5953E+00
  1.0000E+00   3.1600E-03   2.0193E+00  -2.9353E+00   1.6358E+00  -1.8633E+00  -2.7344E+00
  1.0000E+00   4.2200E-03   1.8567E+00  -2.6283E+00   1.4670E+00  -1.5634E+00  -2.0513E+00
  1.0000E+00   5.6200E-03   1.7220E+00  -2.3635E+00   1.3082E+00  -1.3319E+00  -1.5169E+00
  1.0000E+00   7.5000E-03   1.6135E+00  -2.1306E+00   1.1551E+00  -1.1497E+00  -1.0917E+00
  1.0000E+00   1.0000E-02   1.5333E+00  -1.9273E+00   1.0077E+00  -1.0067E+00  -7.5773E-01
  1.0000E+00   1.3300E-02   1.4824E+00  -1.7504E+00   8.6561E-01  -8.9308E-01  -4.9766E-01
  1.0000E+00   1.7800E-02   1.4607E+00  -1.5916E+00   7.2372E-01  -7.9734E-01  -2.9117E-01
  1.0000E+00   2.3700E-02   1.4695E+00  -1.4546E+00   5.8746E-01  -7.1595E-01  -1.3663E-01
  1.0000E+00   3.1600E-02   1.5071E+00  -1.3335E+00   4.5451E-01  -6.4032E-01  -2.2176E-02
  1.0000E+00   4.2200E-02   1.5701E+00  -1.2257E+00   3.2714E-01  -5.6491E-01   5.6959E-02
  1.0000E+00   5.6200E-02   1.6499E+00  -1.1295E+00   2.1123E-01  -4.8647E-01   1.0380E-01
  1.0000E+00   7.5000E-02   1.7343E+00  -1.0385E+00   1.1053E-01  -4.0120E-01   1.2286E-01
  1.0000E+00   1.0000E-01   1.8023E+00  -9.4656E-01   3.2945E-02  -3.1032E-01   1.1812E-01
  1.0000E+00   1.3300E-01   1.8267E+00  -8.4495E-01  -1.5825E-02  -2.1874E-01   9.6031E-02
  1.0000E+00   1.7800E-01   1.7736E+00  -7.1943E-01  -3.5262E-02  -1.3227E-01   6.4231E-02
  1.0000E+00   2.3700E-01   1.6115E+00  -5.6729E-01  -3.0592E-02  -6.4948E-02   3.3838E-02
  1.0000E+00   3.1600E-01   1.3161E+00  -3.8972E-01  -1.5655E-02  -2.2592E-02   1.2388E-02
  1.0000E+00   4.2200E-01   8.9340E-01  -2.1049E-01  -4.0876E-03  -4.3645E-03   2.4847E-03
  1.0000E+00   5.6200E-01   4.2587E-01  -7.3354E-02  -3.4157E-04  -2.8400E-04   1.6617E-04
  1.0000E+00   7.5000E-01   7.9640E-02  -8.4180E-03  -1.6341E-06  -1.0868E-06   6.4902E-07
  1.0000E+00   1.0000E+00   7.0938E-05  -2.0164E-06   1.0342E-09   1.6384E-09  -1.0767E-09
  3.1620E+00   1.0000E-05   3.3914E+01  -7.2341E+01   2.6404E+01  -1.8181E+02  -3.9193E+02
  3.1620E+00   1.3300E-05   2.9472E+01  -6.0264E+01   2.2648E+01  -1.4366E+02  -3.0871E+02
  3.1620E+00   1.7800E-05   2.5680E+01  -5.0241E+01   1.9455E+01  -1.1299E+02  -2.4185E+02
  3.1620E+00   2.3700E-05   2.2540E+01  -4.2218E+01   1.6832E+01  -8.9290E+01  -1.9027E+02
  3.1620E+00   3.1600E-05   1.9853E+01  -3.5611E+01   1.4613E+01  -7.0523E+01  -1.4947E+02
  3.1620E+00   4.2200E-05   1.7539E+01  -3.0151E+01   1.2725E+01  -5.5670E+01  -1.1724E+02
  3.1620E+00   5.6200E-05   1.5561E+01  -2.5686E+01   1.1134E+01  -4.4083E+01  -9.2140E+01
  3.1620E+00   7.5000E-05   1.3833E+01  -2.1954E+01   9.7618E+00  -3.4886E+01  -7.2257E+01
  3.1620E+00   1.0000E-04   1.2331E+01  -1.8855E+01   8.5854E+00  -2.7663E+01  -5.6676E+01
  3.1620E+00   1.3300E-04   1.1025E+01  -1.6281E+01   7.5760E+00  -2.2013E+01  -4.4520E+01
  3.1620E+00   1.7800E-04   9.8522E+00  -1.4070E+01   6.6795E+00  -1.7462E+01  -3.4756E+01
  3.1620E+00   2.3700E-04   8.8358E+00  -1.2237E+01   5.9106E+00  -1.3941E+01  -2.7224E+01
  3.1620E+00   3.1600E-04   7.9316E+00  -1.0672E+01   5.2323E+00  -1.1147E+01  -2.1269E+01
  3.1620E+00   4.2200E-04   7.1255E+00  -9.3320E+00   4.6313E+00  -8.9322E+00  -1.6566E+01
  3.1620E+00   5.6200E-04   6.4164E+00  -8.1954E+00   4.1045E+00  -7.2005E+00  -1.2904E+01
  3.1620E+00   7.5000E-04   5.7814E+00  -7.2109E+00   3.6329E+00  -5.8226E+00  -1.0006E+01
  3.1620E+00   1.0000E-03   5.2187E+00  -6.3637E+00   3.2135E+00  -4.7376E+00  -7.7353E+00
  3.1620E+00   1.3300E-03   4.7232E+00  -5.6353E+00   2.8409E+00  -3.8862E+00  -5.9653E+00
  3.1620E+00   1.7800E-03   4.2747E+00  -4.9879E+00   2.4984E+00  -3.1978E+00  -4.5452E+00
  3.1620E+00   2.3700E-03   3.8861E+00  -4.4332E+00   2.1946E+00  -2.6625E+00  -3.4512E+00
  3.1620E+00   3.1600E-03   3.5433E+00  -3.9449E+00   1.9174E+00  -2.2350E+00  -2.5884E+00
  3.1620E+00   4.2200E-03   3.2436E+00  -3.5139E+00   1.6632E+00  -1.8927E+00  -1.9093E+00
  3.1620E+00   5.6200E-03   2.9883E+00  -3.1381E+00   1.4323E+00  -1.6213E+00  -1.3838E+00
  3.1620E+00   7.5000E-03   2.7708E+00  -2.8039E+00   1.2180E+00  -1.4005E+00  -9.7167E-01
  3.1620E+00   1.0000E-02   2.5918E+00  -2.5092E+00   1.0203E+00  -1.2204E+00  -6.5383E-01
  3.1620E+00   1.3300E-02   2.4497E+00  -2.2499E+00   8.3832E-01  -1.0711E+00  -4.1211E-01
  3.1620E+00   1.7800E-02   2.3388E+00  -2.0142E+00   6.6592E-01  -9.3970E-01  -2.2588E-01
  3.1620E+00   2.3700E-02   2.2610E+00  -1.8072E+00   5.0997E-01  -8.2410E-01  -9.1616E-02
  3.1620E+00   3.1600E-02   2.2095E+00  -1.6197E+00   3.6779E-01  -7.1508E-01   3.3563E-03
  3.1620E+00   4.2200E-02   2.1776E+00  -1.4477E+00   2.4186E-01  -6.0771E-01   6.5273E-02
  3.1620E+00   5.6200E-02   2.1553E+00  -1.2894E+00   1.3725E-01  -5.0052E-01   9.8811E-02
  3.1620E+00   7.5000E-02   2.1264E+00  -1.1369E+00   5.5738E-02  -3.9130E-01   1.0933E-01
  3.1620E+00   1.0000E-01   2.0704E+00  -9.8625E-01   1.0923E-03  -2.8416E-01   1.0122E-01
  3.1620E+00   1.3300E-01   1.9636E+00  -8.3244E-01  -2.6657E-02  -1.8619E-01   8.0168E-02
  3.1620E+00   1.7800E-01   1.7767E+00  -6.6543E-01  -3.1917E-02  -1.0338E-01   5.2268E-02
  3.1620E+00   2.3700E-01   1.4993E+00  -4.9068E-01  -2.2908E-02  -4.6344E-02   2.6556E-02
  3.1620E+00   3.1600E-01   1.1279E+00  -3.1297E-01  -1.0470E-02  -1.4724E-02   9.0910E-03
  3.1620E+00   4.2200E-01   6.9527E-01  -1.5483E-01  -2.5284E-03  -2.6414E-03   1.5923E-03
  3.1620E+00   5.6200E-01   2.9322E-01  -4.8147E-02  -2.0073E-04  -1.6814E-04   7.7743E-05
  3.1620E+00   7.5000E-01   4.5247E-02  -4.5981E-03  -1.1161E-06  -1.0574E-06  -2.6188E-07
  3.1620E+00   1.0000E+00   2.9723E-05  -2.6299E-08   5.0934E-10   6.5156E-10  -1.3667E-09
  1.0000E+01   1.0000E-05   4.8528E+01  -7.8310E+01   3.6523E+01  -1.8530E+02  -4.0045E+02
  1.0000E+01   1.3300E-05   4.1840E+01  -6.6175E+01   3.0848E+01  -1.4688E+02  -3.1550E+02
  1.0000E+01   1.7800E-05   3.6171E+01  -5.5949E+01   2.6093E+01  -1.1592E+02  -2.4723E+02
  1.0000E+01   2.3700E-05   3.1517E+01  -4.7636E+01   2.2244E+01  -9.1948E+01  -1.9453E+02
  1.0000E+01   3.1600E-05   2.7573E+01  -4.0683E+01   1.9035E+01  -7.2917E+01  -1.5283E+02
  1.0000E+01   4.2200E-05   2.4208E+01  -3.4845E+01   1.6346E+01  -5.7814E+01  -1.1987E+02
  1.0000E+01   5.6200E-05   2.1361E+01  -2.9994E+01   1.4113E+01  -4.5998E+01  -9.4185E+01
  1.0000E+01   7.5000E-05   1.8895E+01  -2.5878E+01   1.2215E+01  -3.6589E+01  -7.3834E+01
  1.0000E+01   1.0000E-04   1.6771E+01  -2.2407E+01   1.0610E+01  -2.9174E+01  -5.7881E+01
  1.0000E+01   1.3300E-04   1.4940E+01  -1.9483E+01   9.2505E+00  -2.3352E+01  -4.5429E+01
  1.0000E+01   1.7800E-04   1.3308E+01  -1.6936E+01   8.0586E+00  -1.8643E+01  -3.5426E+01
  1.0000E+01   2.3700E-04   1.1902E+01  -1.4795E+01   7.0488E+00  -1.4982E+01  -2.7707E+01
  1.0000E+01   3.1600E-04   1.0660E+01  -1.2947E+01   6.1681E+00  -1.2063E+01  -2.1606E+01
  1.0000E+01   4.2200E-04   9.5576E+00  -1.1345E+01   5.3963E+00  -9.7363E+00  -1.6787E+01
  1.0000E+01   5.6200E-04   8.5923E+00  -9.9728E+00   4.7267E+00  -7.9061E+00  -1.3037E+01
  1.0000E+01   7.5000E-04   7.7309E+00  -8.7738E+00   4.1333E+00  -6.4402E+00  -1.0071E+01
  1.0000E+01   1.0000E-03   6.9696E+00  -7.7338E+00   3.6107E+00  -5.2771E+00  -7.7501E+00
  1.0000E+01   1.3300E-03   6.3001E+00  -6.8338E+00   3.1509E+00  -4.3569E+00  -5.9440E+00
  1.0000E+01   1.7800E-03   5.6940E+00  -6.0295E+00   2.7324E+00  -3.6059E+00  -4.4984E+00
  1.0000E+01   2.3700E-03   5.1678E+00  -5.3371E+00   2.3651E+00  -3.0156E+00  -3.3885E+00
  1.0000E+01   3.1600E-03   4.7015E+00  -4.7255E+00   2.0337E+00  -2.5385E+00  -2.5170E+00
  1.0000E+01   4.2200E-03   4.2902E+00  -4.1842E+00   1.7335E+00  -2.1513E+00  -1.8350E+00
  1.0000E+01   5.6200E-03   3.9351E+00  -3.7113E+00   1.4648E+00  -1.8395E+00  -1.3114E+00
  1.0000E+01   7.5000E-03   3.6260E+00  -3.2901E+00   1.2195E+00  -1.5815E+00  -9.0462E-01
  1.0000E+01   1.0000E-02   3.3626E+00  -2.9181E+00   9.9756E-01  -1.3673E+00  -5.9485E-01
  1.0000E+01   1.3300E-02   3.1421E+00  -2.5902E+00   7.9802E-01  -1.1866E+00  -3.6289E-01
  1.0000E+01   1.7800E-02   2.9546E+00  -2.2914E+00   6.1419E-01  -1.0253E+00  -1.8758E-01
  1.0000E+01   2.3700E-02   2.8030E+00  -2.0282E+00   4.5333E-01  -8.8245E-01  -6.4167E-02
  1.0000E+01   3.1600E-02   2.6769E+00  -1.7889E+00   3.1231E-01  -7.4841E-01   2.0541E-02
  1.0000E+01   4.2200E-02   2.5678E+00  -1.5690E+00   1.9309E-01  -6.1896E-01   7.3467E-02
  1.0000E+01   5.6200E-02   2.4650E+00  -1.3668E+00   9.9405E-02  -4.9402E-01   9.9936E-02
  1.0000E+01   7.5000E-02   2.3504E+00  -1.1742E+00   3.1286E-02  -3.7234E-01   1.0550E-01
  1.0000E+01   1.0000E-01   2.2054E+00  -9.8852E-01  -1.0249E-02  -2.5932E-01   9.4668E-02
  1.0000E+01   1.3300E-01   2.0105E+00  -8.0668E-01  -2.7923E-02  -1.6208E-01   7.2988E-02
  1.0000E+01   1.7800E-01   1.7413E+00  -6.2036E-01  -2.7774E-02  -8.5261E-02   4.6193E-02
  1.0000E+01   2.3700E-01   1.4017E+00  -4.3833E-01  -1.8186E-02  -3.6064E-02   2.2631E-02
  1.0000E+01   3.1600E-01   9.9938E-01  -2.6615E-01  -7.7641E-03  -1.0775E-02   7.3766E-03
  1.0000E+01   4.2200E-01   5.7758E-01  -1.2403E-01  -1.7602E-03  -1.8139E-03   1.2065E-03
  1.0000E+01   5.6200E-01   2.2413E-01  -3.5672E-02  -1.2953E-04  -1.0777E-04   5.3362E-05
  1.0000E+01   7.5000E-01   3.0312E-02  -3.0021E-03  -6.3381E-07  -6.8243E-07  -2.2050E-07
  1.0000E+01   1.0000E+00   1.3368E-05   3.0926E-07   3.5046E-10   3.9802E-10  -1.1769E-09
  3.1620E+01   1.0000E-05   5.9528E+01  -8.5624E+01   4.3055E+01  -1.8996E+02  -4.0857E+02
  3.1620E+01   1.3300E-05   5.1186E+01  -7.3073E+01   3.6070E+01  -1.5106E+02  -3.2206E+02
  3.1620E+01   1.7800E-05   4.4144E+01  -6.2354E+01   3.0268E+01  -1.1962E+02  -2.5248E+02
  3.1620E+01   2.3700E-05   3.8385E+01  -5.3524E+01   2.5612E+01  -9.5218E+01  -1.9873E+02
  3.1620E+01   3.1600E-05   3.3525E+01  -4.6045E+01   2.1763E+01  -7.5790E+01  -1.5617E+02
  3.1620E+01   4.2200E-05   2.9394E+01  -3.9689E+01   1.8564E+01  -6.0327E+01  -1.2251E+02
  3.1620E+01   5.6200E-05   2.5911E+01  -3.4348E+01   1.5927E+01  -4.8190E+01  -9.6265E+01
  3.1620E+01   7.5000E-05   2.2903E+01  -2.9766E+01   1.3703E+01  -3.8494E+01  -7.5454E+01
  3.1620E+01   1.0000E-04   2.0318E+01  -2.5864E+01   1.1834E+01  -3.0825E+01  -5.9132E+01
  3.1620E+01   1.3300E-04   1.8094E+01  -2.2547E+01   1.0261E+01  -2.4782E+01  -4.6386E+01
  3.1620E+01   1.7800E-04   1.6114E+01  -1.9634E+01   8.8892E+00  -1.9876E+01  -3.6142E+01
  3.1620E+01   2.3700E-04   1.4411E+01  -1.7168E+01   7.7329E+00  -1.6045E+01  -2.8235E+01
  3.1620E+01   3.1600E-04   1.2905E+01  -1.5026E+01   6.7289E+00  -1.2978E+01  -2.1984E+01
  3.1620E+01   4.2200E-04   1.1570E+01  -1.3159E+01   5.8527E+00  -1.0522E+01  -1.7047E+01
  3.1620E+01   5.6200E-04   1.0400E+01  -1.1554E+01   5.0955E+00  -8.5802E+00  -1.3207E+01
